UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing
ML0001,2020,2020,2020-07-10,6,4,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,7,39,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,8,92,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,9,32,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,10,16,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,11,24,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,12,23,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,13,16,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,14,29,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,15,34,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,16,7,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,17,23,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,18,71,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,19,69,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,20,40,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-07-10,21,6,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-14,16,719,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-14,17,700,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-14,18,993,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-14,19,272,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-15,6,129,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-15,7,729,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-15,8,1096,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-15,9,415,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-15,10,165,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-16,13,50,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-16,14,139,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-16,15,238,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-17,19,233,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-17,20,202,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-17,21,50,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-18,11,107,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-18,12,108,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2020,2020,2020-09-18,13,54,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0002,2020,2020,2020-07-10,6,12,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,7,25,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,8,38,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,9,24,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,10,13,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,11,17,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,12,12,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,13,22,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,14,32,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,15,33,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,16,31,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,17,50,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,18,50,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,19,30,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,20,23,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-07-10,21,13,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-02,9,243,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-02,10,243,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-02,11,218,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-02,12,70,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-04,14,285,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2020,2020,2020-09-04,15,295,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
