UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing
ML0001,2015,2015,2015-06-04,6,86,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,7,491,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,8,853,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,9,385,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,14,88,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,15,140,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,16,241,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-04,17,750,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,10,184,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,11,125,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,12,100,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,13,99,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,18,745,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,19,315,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,20,148,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2015,2015,2015-06-05,21,59,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0002,2015,2015,2015-06-01,6,188,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,7,420,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,8,865,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,9,479,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,14,154,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,15,179,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,16,234,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-01,17,604,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,10,178,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,11,137,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,12,148,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,13,157,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,18,807,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,19,466,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,20,273,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2015,2015,2015-06-03,21,181,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0003,2015,2015,2015-04-16,6,97,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,7,382,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,8,690,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,9,365,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,14,60,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,15,90,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,16,176,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-16,17,610,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,10,98,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,11,56,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,12,58,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,13,53,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,18,632,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,19,362,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,20,119,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2015,2015,2015-04-17,21,74,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0004,2015,2015,2015-06-17,6,81,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,7,336,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,8,585,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,9,283,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,10,71,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,11,42,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,14,22,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,15,63,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,16,122,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,17,331,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,18,491,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,19,211,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,20,109,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-17,21,61,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-18,12,49,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-18,13,49,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2015,2015,2015-06-18,14,71,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0005,2015,2015,2015-06-10,6,159,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,7,434,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,8,840,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,9,431,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,10,144,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,11,129,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,12,149,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,13,135,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,14,156,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,15,226,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2015,2015,2015-06-10,16,326,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
