UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing
ML0001,2021,2021,2021-08-02,6,137,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,7,711,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,8,872,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,9,325,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,10,116,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,11,112,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,12,103,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,13,93,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,14,127,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,15,146,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,16,348,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,17,676,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,18,817,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,19,355,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,20,105,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2021,2021,2021-08-02,21,31,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0002,2021,2021,2021-06-22,10,172,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-22,11,225,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-22,12,132,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-23,12,135,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-23,13,353,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-23,14,314,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-23,15,378,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-23,16,104,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-24,16,317,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-24,17,673,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-24,18,830,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-24,19,339,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-25,6,176,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-25,7,334,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-25,8,476,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-25,9,341,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-25,10,61,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-30,19,239,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-30,20,373,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2021,2021,2021-06-30,21,289,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0003,2021,2021,2021-04-19,17,228,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-19,18,298,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-19,19,151,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-19,20,99,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-19,21,45,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-20,7,78,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-20,8,340,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2021,2021,2021-04-20,9,196,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
