UnqID,wave,Year,Date,Hour,Count,Borough,Functional,Latitude,Longitude,Easting,Northing
ML0001,2016,2016,2016-06-09,6,143,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,7,709,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,8,1328,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,9,556,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,14,77,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,15,109,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,16,208,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-09,17,623,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,10,194,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,11,94,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,12,61,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,13,61,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,18,939,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,19,345,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,20,156,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0001,2016,2016,2016-06-10,21,43,Westminster,01 Central,51.492628,-0.12520362,530251.49,178742.45
ML0002,2016,2016,2016-06-08,6,161,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,7,437,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,8,839,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,9,527,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,10,201,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,11,181,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,12,160,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-08,13,189,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,14,211,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,15,229,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,16,295,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,17,620,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,18,752,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,19,478,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,20,256,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0002,2016,2016,2016-06-09,21,216,City of London,01 Central,51.519599,-0.07925389,533362.68,181824.45
ML0003,2016,2016,2016-03-23,9,368,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,10,118,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,11,57,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,12,55,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,13,72,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,14,66,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,15,97,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,16,172,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,17,532,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,18,513,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,19,266,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,20,132,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-23,21,82,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-24,6,89,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-24,7,282,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0003,2016,2016,2016-03-24,8,608,Southwark,01 Central,51.508123,-0.094550618,532334.06,180520.37
ML0004,2016,2016,2016-06-08,12,34,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,13,48,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,14,43,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,15,43,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,16,82,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,17,351,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,18,417,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,19,237,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,20,91,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-08,21,76,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,6,46,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,7,154,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,8,303,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,9,188,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,10,35,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0004,2016,2016,2016-06-17,11,16,Southwark,01 Central,51.500613,-0.098926959,532052.5,179677.64
ML0005,2016,2016,2016-06-08,6,159,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2016,2016,2016-06-08,7,514,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2016,2016,2016-06-08,8,956,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2016,2016,2016-06-08,9,457,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2016,2016,2016-06-08,14,63,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
ML0005,2016,2016,2016-06-08,15,174,Southwark,01 Central,51.5052,-0.084629047,533031.59,180213.46
